age,ai_confidence,ai_prediction,ai_shown,big5_agreeableness,big5_conscientiousness,big5_extraversion,big5_neuroticism,big5_open_mindedness,big5_timestamp,confidence,created_at,current_phase,experience_level,facet_aesthetic_sensitivity,facet_anxiety,facet_assertiveness,facet_compassion,facet_creative_imagination,facet_depression,facet_emotional_volatility,facet_energy_level,facet_intellectual_curiosity,facet_organization,facet_productiveness,facet_respectfulness,facet_responsibility,facet_sociability,facet_trust,final_confidence,final_decision,gender,ground_truth_binary,ground_truth_raw,healthcare_qualification,initial_confidence,initial_decision,iq_completed_at,iq_score,iq_time_remaining,participant_id,phase1_completed_at,phase1_video_watched,phase2_completed_at,residence,reverted_decision,school,symptom1,symptom2,treatment_group,trial_duration,trial_end_time,trial_id,trial_image,trial_image_name,trial_original_image_name,trial_start_time,user_id
17,0.0818,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,0,male,0,0,none,7,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,36.765,1772705002249,p2_trial_1,9397988L.png,42.png,9397988L.png,1772704965484,0-3L7D9
17,0.5533,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,bizonytalan,0,29.497,1772705547120,p2_trial_10,9261557L.png,23.png,9261557L.png,1772705517623,0-3L7D9
17,0.8137,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,1,male,1,3,none,5,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,31.398,1772705578921,p2_trial_11,9046206L.png,29.png,9046206L.png,1772705547523,0-3L7D9
17,0.8986,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,1,male,1,3,none,6,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,21.254,1772705601080,p2_trial_12,9683886R.png,22.png,9683886R.png,1772705579826,0-3L7D9
17,0.8709,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,1,male,1,2,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,True,secondary,bizonytalan,nincsen,0,55.616,1772705657048,p2_trial_13,9354156R.png,6.png,9354156R.png,1772705601432,0-3L7D9
17,0.8846,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,1,2,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,bizonytalan,nincsen,0,39.896,1772705697312,p2_trial_14,9998089R.png,24.png,9998089R.png,1772705657416,0-3L7D9
17,0.8162,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,30.939,1772705728592,p2_trial_15,9253225L.png,21.png,9253225L.png,1772705697653,0-3L7D9
17,0.329,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,3,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,3,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,bizonytalan,0,102.043,1772705830976,p2_trial_16,9043461R.png,9.png,9043461R.png,1772705728933,0-3L7D9
17,0.9663,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,1,male,1,3,none,7,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,33.018,1772705864672,p2_trial_17,9056326L.png,19.png,9056326L.png,1772705831654,0-3L7D9
17,0.9329,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,1,male,1,3,none,4,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,bizonytalan,tunet,0,34.978,1772705899992,p2_trial_18,9075939L.png,16.png,9075939L.png,1772705865014,0-3L7D9
